Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
72.0,0.6,4.0,105.0,42.0,57.0,200.0,200.0,200.0,200.0,205.0,336.0,60.0,550.0,800.0,1900.0,2200,2150,2180.0,60.0,50.0,50.0,100.0,30.0,2.1,415,1.47,147.0,850.0,500.0
72.0,0.6,4.0,105.0,42.0,57.0,200.0,200.0,200.0,200.0,205.0,343.0,60.0,550.0,800.0,1900.0,2171,2150,2085.0,40.0,40.0,50.0,100.0,30.0,2.1,415,1.57,180.3,850.0,500.0
72.0,0.6,4.0,105.0,42.0,57.0,200.0,200.0,200.0,200.0,205.0,343.0,60.0,550.0,800.0,1900.0,2171,1981,2045.0,40.0,40.0,50.0,100.0,30.0,2.1,415,1.51,170.3,850.0,500.0
72.0,0.6,4.0,105.0,42.0,57.0,200.0,200.0,200.0,200.0,205.0,343.0,60.0,550.0,800.0,1900.0,2171,1981,2045.0,40.0,40.0,35.0,100.0,30.0,2.1,415,1.46,176.0,850.0,500.0
72.0,0.6,4.0,105.0,42.0,57.0,200.0,200.0,200.0,200.0,205.0,343.0,60.0,550.0,800.0,1900.0,2171,1981,2045.0,40.0,40.0,70.0,100.0,30.0,2.1,415,1.28,192.3,850.0,500.0
72.0,0.6,4.0,105.0,42.0,59.0,200.0,200.0,200.0,200.0,205.0,245.0,60.0,550.0,800.0,2350.0,2600,2350,2430.0,40.0,40.0,70.0,100.0,30.0,2.1,320,1.88,120.0,850.0,500.0
48.0,0.4,4.0,60.0,10.0,51.0,275.0,285.0,290.0,290.0,285.0,47.0,80.0,1600.0,1650.0,1960.0,2350,2250,2330.0,135.0,160.0,140.0,30.0,15.0,1.4,85,2.0,20.0,0.0,0.0
48.0,0.4,4.0,60.0,10.21,53.0,275.0,285.0,290.0,290.0,285.0,37.0,80.0,1600.0,1650.0,1960.0,2350,2250,2330.0,135.0,160.0,140.0,30.0,15.0,1.4,88,2.05,22.0,0.0,0.0
48.0,0.4,4.0,60.0,9.5,51.0,275.0,285.0,290.0,290.0,285.0,42.0,80.0,920.0,1070.0,1638.0,2108,2044,2120.0,135.0,160.0,140.0,30.0,12.0,1.4,88,3.54,25.7,0.0,0.0
48.0,0.4,4.0,60.0,9.5,51.0,275.0,285.0,290.0,290.0,285.0,42.0,80.0,950.0,1100.0,1670.0,2108,2044,2124.0,135.0,160.0,140.0,30.0,12.0,1.4,90,3.3,25.7,0.0,0.0
48.0,0.4,4.0,60.0,9.5,51.0,275.0,285.0,290.0,290.0,285.0,42.0,80.0,960.0,1100.0,1680.0,2108,2044,2124.0,135.0,160.0,140.0,30.0,12.0,1.4,90,3.37,26.4,0.0,0.0
48.0,0.4,4.0,60.0,11.0,65.0,275.0,285.0,290.0,290.0,286.0,32.0,120.0,1599.0,1799.0,2125.0,2612,2543,2650.0,150.0,160.0,140.0,30.0,20.0,1.4,85,1.8,20.0,500.0,355.0
48.0,0.4,4.0,60.0,11.2,65.0,275.0,285.0,290.0,290.0,286.0,32.0,120.0,1599.0,1799.0,2125.0,2612,2543,2650.0,150.0,160.0,140.0,30.0,20.0,1.4,85,2.25,22.0,500.0,355.0
48.0,0.4,4.0,60.0,12.0,92.6,275.0,285.0,290.0,290.0,286.0,32.0,120.0,1648.0,1826.0,2215.0,2675,2602,2700.0,150.0,160.0,140.0,30.0,20.0,1.4,88,2.23,23.6,500.0,355.0
48.0,0.4,4.0,60.0,9.5,87.0,275.0,285.0,290.0,290.0,288.0,17.1,120.0,980.0,1124.0,1695.0,2108,2045,2134.0,160.0,160.0,150.0,15.0,18.0,1.4,91,3.42,27.5,500.0,355.0
48.0,0.4,4.0,60.0,9.5,87.0,275.0,285.0,290.0,290.0,288.0,17.1,120.0,990.0,1140.0,1700.0,2108,2045,2134.0,160.0,160.0,150.0,30.0,18.0,1.4,90,3.48,28.2,500.0,355.0
48.0,0.4,4.0,60.0,9.4,82.0,275.0,285.0,290.0,290.0,285.0,23.0,120.0,890.0,1050.0,1650.0,2020,1945,2035.0,160.0,165.0,150.0,30.0,16.0,1.4,90,3.44,28.9,500.0,355.0
48.0,0.4,4.0,60.0,9.5,82.0,275.0,285.0,290.0,290.0,285.0,23.0,120.0,1800.0,1920.0,1970.0,2220,1985,2075.0,160.0,165.0,150.0,30.0,16.0,1.4,88,1.4,25.0,500.0,355.0
72.0,0.6,4.0,105.0,30.0,53.0,215.0,220.0,225.0,225.0,225.0,145.0,120.0,641.0,670.0,2350.0,2602,2274,2370.0,50.0,50.0,72.0,85.0,25.0,2.3,240,1.72,250.0,0.0,0.0
72.0,0.6,4.0,105.0,30.0,53.0,215.0,220.0,225.0,225.0,225.0,145.0,120.0,650.0,670.0,2350.0,2700,2375,2475.0,50.0,50.0,72.0,85.0,25.0,2.3,230,1.84,234.0,0.0,0.0
72.0,0.6,4.0,105.0,30.0,53.0,215.0,220.0,225.0,225.0,225.0,145.0,120.0,650.0,670.0,2710.0,3000,2800,2900.0,50.0,50.0,72.0,85.0,25.0,2.3,195,2.1,156.0,0.0,0.0
72.0,0.6,4.0,105.0,22.0,53.0,215.0,220.0,225.0,225.0,225.0,190.0,140.0,650.0,699.0,2200.0,2500,2450,2520.0,50.0,62.0,77.0,5.0,20.0,2.3,170,1.81,196.0,0.0,0.0
48.0,0.4,4.0,60.0,15.0,88.0,275.0,285.0,290.0,290.0,285.0,50.0,120.0,1648.0,1826.0,2215.0,2675,2577,2680.0,158.0,185.0,150.0,30.0,20.0,1.4,110,2.26,22.17,500.0,355.0
48.0,0.4,4.0,60.0,17.4,89.0,275.0,285.0,290.0,290.0,285.0,65.3,120.0,1648.0,1826.0,2215.0,2675,2577,2680.0,158.0,185.0,150.0,30.0,20.0,1.4,131,2.14,23.11,500.0,355.0
48.0,0.4,2.0,60.0,11.0,50.0,210.0,215.0,220.0,225.0,225.0,0.0,40.0,850.0,900.0,1800.0,2050,2050,2109.0,70.0,100.0,131.0,30.0,18.0,1.35,160,1.12,32.6,500.0,355.0
