material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
rPET,72,0.3,2,1,25,63,275,285,285,285,290,115.7,60,700,750,1300,2500,2485,2565,,85,100,130,30,18,300,2.9,25.22
rPET,72,0.3,2,1,25,62,275,285,285,285,290,126,58,765,820,1375,2515,2485,2565,,85,100,130,40,18,300,2.43,28.67
PHB 2450 MOEL,48,0.4,4,1,6.5,53,165,170,175,185,185,0,50,850,915,960,955,970,1000,25,,,,20,20,200,0.9,64
PHB 2450 MOEL,48,0.4,4,1,9,58,165,170,175,185,185,0,50,850,1420,1470,1435,1440,1500,25,,,,20,16,175,0.8,54
PHB 2450 MOEL,48,0.4,4,1,12,58,165,170,175,185,185,0,50,850,1939,1980,1942,1932,2000,20,,,,20,16,168,0.92,59
PHB 2450 MOEL,48,0.4,4,1,4,53,165,170,175,185,185,0,50,500,540,560,580,580,600,20,,,,,11,235,0.48,80
PHB 2450 MOEL,48,0.4,4,1,14,59,165,170,175,185,185,31,50,1350,1425,1850,1930,1995,2075,,45,60,90,,15,195,1.3,33
PHB 2450 MOEL,48,0.4,4,1,14,59,165,170,175,185,185,32.2,50,1350,1425,1850,1995,1976,2055,,45,60,70,,,190,1.4,34
PHB 2450 MOEL,48,0.4,4,1,14,54.5,165,170,175,185,185,41.5,50,1350,1425,1850,1995,1976,2055,,,,,,,198,1.2,30
TPX DX350,72,0.4,4,1,15,70,270,275,280,285,290,45.5,50,1081,1170,1600,2100,2050,2115,12,130,160,150,15,20,135,3.47,25.44
TPX DX350,72,0.4,4,1,14.6,68,270,275,280,285,290,48,50,1200,1350,1650,2100,2050,2125,12,130,160,150,15,20,130,2.9,26.78
UNNAMED,48,0.3,2,1,5,32,250,265,270,275,270,114,50,699,,,739,734,800,,,,,,15,190,1.91,103.9
UNNAMED,48,0.4,2,1,15,48,240,250,255,260,260,84,50,1480,,,1600,1590,1650,,,,,,15,300,1.68,176.3
UNNAMED,48,0.4,2,1,25,48.2,240,250,255,260,260,133.5,51,2592,,,2602,2547,2685,,,,,,15,290,2.2,130.8
TPC-ET,12,0.5,4,1,14,34.7,210,220,230,240,240,134.6,62.8,800,850,865,900,935,985,,,,,80,18,390,0.83,360
TPC-ET,12,0.5,4,1,10,30.5,210,220,230,240,240,120,60,800,850,865,900,935,985,,,,,80,18,270,0.8,330
TPC-ET,12,0.5,4,1,14,34,210,220,230,240,250,163,60,1950,,,1965,1981,2060,,,,,80,18,180,1.16,261
TPC-ET,12,0.5,4,1,,,210,220,230,240,250,,,600,700,1400,1650,1610,1650,,,,,80,18,275,1.29,208
TPC-ET,12,0.5,4,1,14,34,210,220,230,240,250,,,600,700,1799,1790,1775,1820,,,,,80,20,250,1.41,176
TPX,72,0.4,4,1,14,68,265,275,280,285,288,52.9,50,750,1000,1375,1750,1735,1775,,140,160,145,15,18,155,2.8,21.5
TPX,72,0.4,4,1,14,68,265,275,280,285,288,52.9,50,950,1110,1390,1750,1735,1775,,140,160,145,15,18,130,2.26,19.11
