Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Material;Cluster
72.0;0.35;4.0;60.0;4.0;2.0;14.0;28.0;265.0;270.0;275.0;48.8;70.0;800.0;950.0;2350.0;2390.0;10.0;65.0;115.0;20.0;20.0;1.3;164;1.98;18.72;850.0;500.0;PBT + 15% MB;cluster-1
72.0;0.35;4.0;60.0;4.0;2.0;13.8;29.0;265.0;270.0;275.0;46.8;70.0;900.0;1050.0;2450.0;2490.0;16.0;65.0;115.0;20.0;20.0;1.3;159;1.86;26.4;850.0;500.0;PBT + 15% MB;cluster-1
72.0;0.35;4.0;60.0;4.0;2.0;11.5;74.6;250.0;255.0;265.0;47.8;70.0;2950.0;3000.0;3000.0;3046.0;10.0;85.53254437869822;111.51612903225806;20.0;20.0;1.3;115;2.18;68.44;850.0;500.0;PBT + 15% MB;cluster-1
72.0;0.35;4.0;60.0;4.0;2.0;11.0;84.0;250.0;260.0;275.0;59.0;70.0;2850.0;2900.0;2926.0;2955.0;12.0;85.53254437869822;111.51612903225806;20.0;20.0;1.3;107;2.01;27.33;850.0;500.0;PBT + 15% MB;cluster14
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;18.0;70.0;265.0;270.0;290.0;47.0;50.0;2152.0;2251.0;2284.0;2285.0;17.035897435897436;85.53254437869822;111.51612903225806;40.0;20.0;1.1;158;1.3;22.5;560.5744680851063;375.3404255319149;TPX;cluster5
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;11.0;77.0;270.0;280.0;295.0;25.0;50.0;1052.0;1091.0;1085.0;1125.0;17.035897435897436;85.53254437869822;111.51612903225806;40.0;18.0;1.1;200;1.33;49.11;560.5744680851063;375.3404255319149;TPX;cluster5
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;7.0;66.0;270.0;280.0;295.0;16.0;50.0;636.0;675.0;675.0;695.0;17.035897435897436;85.53254437869822;111.51612903225806;40.0;16.0;1.1;235;1.27;65.39;560.5744680851063;375.3404255319149;TPX;cluster-1
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;14.0;75.0;270.0;280.0;295.0;29.0;50.0;783.0;900.0;1499.0;2245.0;17.035897435897436;120.0;145.0;40.0;16.0;1.1;130;4.26;26.28;560.5744680851063;375.3404255319149;TPX;cluster-1
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;16.0;71.0;265.0;275.0;295.0;32.0;50.0;783.0;900.0;1499.0;2245.0;17.035897435897436;120.0;145.0;40.0;16.0;1.1;150;3.92;25.28;560.5744680851063;375.3404255319149;TPX;cluster-1
72.0;0.3;2.0;178.0;2.0;178.0;25.0;87.0;255.0;260.0;270.0;103.0;50.0;1800.0;1990.0;2000.0;2020.0;14.0;85.53254437869822;111.51612903225806;20.0;24.0;1.0;370;0.8;215.44;500.0;355.0;PET + 3% Zeol Ag;cluster-1
72.0;0.3;2.0;178.0;3.0;178.0;20.0;52.8;240.0;260.0;275.0;102.8;65.0;800.0;900.0;2600.0;3055.0;21.0;70.0;115.0;30.0;22.0;1.3;185;2.61;34.94;500.0;355.0;LOWMELT 53001;cluster6
48.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;12.0;80.0;255.0;260.0;275.0;90.0;55.0;1800.0;1751.0;2001.0;2500.0;17.035897435897436;85.53254437869822;111.51612903225806;45.0;12.0;1.3;130;3.52;76.06;560.5744680851063;375.3404255319149;PA H24;cluster7
48.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;12.0;72.0;250.0;255.0;275.0;90.0;55.0;1687.0;1751.0;2251.0;2500.0;17.035897435897436;85.53254437869822;111.51612903225806;45.0;14.0;1.3;125;3.41;81.72;560.5744680851063;375.3404255319149;PA H24;cluster7
72.0;0.4;4.0;60.0;2.5633187772925763;35.612648221343875;14.0;68.0;265.0;275.0;285.0;42.0;50.0;1100.0;1249.0;1751.0;2245.0;17.035897435897436;130.0;140.0;20.0;18.0;1.1;125;3.7;23.5;560.5744680851063;375.3404255319149;TPX DX350;cluster-1
